,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,araci,4,BR,1650842689,82,-11.3333,-38.9667,74.41,9.17
1,iranshahr,8,IR,1650842689,36,27.2025,60.6848,79.75,3.06
2,busselton,99,AU,1650842578,52,-33.65,115.3333,66.38,12.06
3,puerto ayora,51,EC,1650842690,80,-0.7393,-90.3518,74.37,9.04
4,batemans bay,79,AU,1650842690,69,-35.7167,150.1833,63.1,3.29
5,hobart,75,AU,1650842510,89,-42.8794,147.3294,56.26,5.75
6,mys shmidta,,,,,,,,
7,saint-philippe,90,RE,1650842691,79,-21.3585,55.7679,74.79,14.03
8,luderitz,0,NA,1650842655,64,-26.6481,15.1594,55.54,18.66
9,laguna,0,US,1650842688,20,38.421,-121.4238,83.28,5.75
10,bluff,91,NZ,1650842691,80,-46.6,168.3333,55.8,29.64
11,nizhneyansk,,,,,,,,
12,weihe,34,CN,1650842692,71,32.9952,105.3247,51.69,6.15
13,gbarnga,100,LR,1650842692,97,6.9956,-9.4722,73.13,0.65
14,attawapiskat,,,,,,,,
15,punta arenas,100,CL,1650842442,93,-53.15,-70.9167,41.11,6.91
16,matata,51,NZ,1650842693,58,-37.8833,176.75,68.72,3.8
17,mataura,,,,,,,,
18,chokurdakh,77,RU,1650842693,93,70.6333,147.9167,4.14,2.89
19,ardakan,77,IR,1650842693,16,32.31,54.0175,73.49,2.55
20,bredasdorp,78,ZA,1650842694,73,-34.5322,20.0403,57.61,5.55
21,fort nelson,75,CA,1650842515,37,58.8053,-122.7002,53.19,5.75
22,lebu,69,CL,1650842490,77,-37.6167,-73.65,52,9.1
23,de aar,0,ZA,1650842694,79,-30.6497,24.0123,49.23,6.44
24,bolungarvik,,,,,,,,
25,hermanus,82,ZA,1650842588,75,-34.4187,19.2345,58.91,4.88
26,araouane,0,ML,1650842695,18,18.9048,-3.5265,78.89,8.23
27,port alfred,98,ZA,1650842695,85,-33.5906,26.891,57.18,4
28,talnakh,91,RU,1650842670,99,69.4865,88.3972,-5.49,4.38
29,taolanaro,,,,,,,,
30,kpandae,100,GH,1650842696,70,8.4689,-0.0113,80.53,10.94
31,byron bay,97,AU,1650842470,67,-28.65,153.6167,65.71,11.99
