,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,pakxe,LA,,,,,,,
1,albany,US,,,,,,,
2,busselton,AU,,,,,,,
3,batagay-alyta,RU,,,,,,,
4,novita,CO,,,,,,,
5,ostrovnoy,RU,,,,,,,
6,kaitangata,NZ,,,,,,,
7,severo-kurilsk,RU,,,,,,,
8,kavaratti,IN,,,,,,,
9,hermanus,ZA,,,,,,,
10,flinders,AU,,,,,,,
11,taolanaro,,,,,,,,
12,san patricio,US,,,,,,,
13,vaini,TO,,,,,,,
14,qaanaaq,GL,,,,,,,
15,illoqqortoormiut,,,,,,,,
16,pasaco,GT,,,,,,,
17,faanui,PF,,,,,,,
18,puerto ayora,EC,,,,,,,
19,tuatapere,NZ,,,,,,,
20,slupsk,PL,,,,,,,
21,tumannyy,,,,,,,,
22,cape town,ZA,,,,,,,
23,punta arenas,CL,,,,,,,
24,gundorovskiy,RU,,,,,,,
25,santa ana,US,,,,,,,
26,mahebourg,MU,,,,,,,
27,bodden town,KY,,,,,,,
28,sale,MA,,,,,,,
29,broome,US,,,,,,,
30,ancud,CL,,,,,,,
31,vao,NC,,,,,,,
32,cayenne,GF,,,,,,,
33,tura,IN,,,,,,,
34,clyde river,CA,,,,,,,
35,yellowknife,CA,,,,,,,
36,klaksvik,FO,,,,,,,
37,vestmannaeyjar,IS,,,,,,,
38,nikolskoye,RU,,,,,,,
39,geraldton,AU,,,,,,,
40,cidreira,BR,,,,,,,
41,rikitea,PF,,,,,,,
42,castro,BR,,,,,,,
43,mataura,NZ,,,,,,,
44,hambantota,LK,,,,,,,
45,lieksa,FI,,,,,,,
46,mount isa,AU,,,,,,,
47,galesong,ID,,,,,,,
48,pevek,RU,,,,,,,
49,bluff,NZ,,,,,,,
50,enshi,CN,,,,,,,
51,hobart,AU,,,,,,,
52,bredasdorp,ZA,,,,,,,
53,vila franca do campo,PT,,,,,,,
54,piombino,IT,,,,,,,
55,ulety,RU,,,,,,,
56,isangel,VU,,,,,,,
57,hamilton,US,,,,,,,
58,hovd,MN,,,,,,,
59,shaki,AZ,,,,,,,
60,chama,CH,,,,,,,
61,miraflores,MX,,,,,,,
62,primore,,,,,,,,
63,doctor pedro p. pena,,,,,,,,
64,sitka,US,,,,,,,
65,calama,CL,,,,,,,
66,ngukurr,,,,,,,,
67,simao,CN,,,,,,,
68,cabo san lucas,MX,,,,,,,
69,tasiilaq,GL,,,,,,,
70,georgetown,MY,,,,,,,
71,new norfolk,AU,,,,,,,
72,yarada,IN,,,,,,,
73,soure,BR,,,,,,,
74,acajutla,SV,,,,,,,
75,havelock,US,,,,,,,
76,saint-pierre,RE,,,,,,,
77,hilo,US,,,,,,,
78,attawapiskat,,,,,,,,
79,edzell,GB,,,,,,,
80,barentsburg,,,,,,,,
81,kieta,PG,,,,,,,
82,port hedland,AU,,,,,,,
83,wahiawa,US,,,,,,,
84,pangnirtung,CA,,,,,,,
85,cherskiy,RU,,,,,,,
86,narsaq,GL,,,,,,,
87,atuona,PF,,,,,,,
88,nabire,ID,,,,,,,
89,saiha,IN,,,,,,,
90,lodja,CD,,,,,,,
91,arraial do cabo,BR,,,,,,,
92,jeremoabo,BR,,,,,,,
93,port-gentil,GA,,,,,,,
94,belushya guba,,,,,,,,
95,ambilobe,MG,,,,,,,
96,mopipi,BW,,,,,,,
97,torbay,CA,,,,,,,
98,shaunavon,CA,,,,,,,
99,alyangula,AU,,,,,,,
100,youhao,CN,,,,,,,
101,ushuaia,AR,,,,,,,
102,urumqi,CN,,,,,,,
103,butaritari,KI,,,,,,,
104,fortuna,US,,,,,,,
105,paliambela,GR,,,,,,,
106,college,US,,,,,,,
107,carnarvon,AU,,,,,,,
108,taoudenni,ML,,,,,,,
109,lavrentiya,RU,,,,,,,
110,presidente epitacio,BR,,,,,,,
111,phan rang,,,,,,,,
112,asfi,MA,,,,,,,
113,hudiksvall,SE,,,,,,,
114,iqaluit,CA,,,,,,,
115,balkanabat,TM,,,,,,,
116,vanimo,PG,,,,,,,
117,tuy hoa,VN,,,,,,,
118,pueblo bello,CO,,,,,,,
119,skjervoy,NO,,,,,,,
120,roma,US,,,,,,,
121,santa marta,CO,,,,,,,
122,dolbeau,,,,,,,,
123,dikson,RU,,,,,,,
124,tiksi,RU,,,,,,,
125,east london,ZA,,,,,,,
126,jinxi,CN,,,,,,,
127,cajamar,BR,,,,,,,
128,esperance,AU,,,,,,,
129,bosaso,SO,,,,,,,
130,bobonong,,,,,,,,
131,katsuura,JP,,,,,,,
132,severo-yeniseyskiy,RU,,,,,,,
133,yacuiba,BO,,,,,,,
134,dhidhdhoo,MV,,,,,,,
135,rawannawi,,,,,,,,
136,kulhudhuffushi,MV,,,,,,,
137,nome,US,,,,,,,
138,nanortalik,GL,,,,,,,
139,bilma,NE,,,,,,,
140,grand gaube,MU,,,,,,,
141,pipraich,IN,,,,,,,
142,akyab,MM,,,,,,,
143,bethel,US,,,,,,,
144,vila do maio,CV,,,,,,,
145,asau,RO,,,,,,,
146,aklavik,CA,,,,,,,
147,harnosand,SE,,,,,,,
148,sao joao da barra,BR,,,,,,,
149,sindand,,,,,,,,
150,maceio,BR,,,,,,,
151,calvinia,ZA,,,,,,,
152,luderitz,NA,,,,,,,
153,victoria,HK,,,,,,,
154,arlit,NE,,,,,,,
155,meyungs,,,,,,,,
156,eregli,TR,,,,,,,
157,thompson,CA,,,,,,,
158,mar del plata,AR,,,,,,,
159,bozhou,CN,,,,,,,
160,ilulissat,GL,,,,,,,
161,les cayes,HT,,,,,,,
162,puteyets,RU,,,,,,,
163,muros,ES,,,,,,,
164,hithadhoo,MV,,,,,,,
165,port alfred,ZA,,,,,,,
166,mount gambier,AU,,,,,,,
167,rungata,,,,,,,,
168,yerbogachen,RU,,,,,,,
169,pimenta bueno,BR,,,,,,,
170,caravelas,BR,,,,,,,
171,una,IN,,,,,,,
172,nicoya,CR,,,,,,,
173,jinsha,CN,,,,,,,
174,barrow,US,,,,,,,
175,gosen,JP,,,,,,,
176,bell ville,AR,,,,,,,
177,beringovskiy,RU,,,,,,,
178,abeokuta,NG,,,,,,,
179,saskylakh,RU,,,,,,,
180,izumo,JP,,,,,,,
181,kemijarvi,FI,,,,,,,
182,ribeira grande,PT,,,,,,,
183,deputatskiy,RU,,,,,,,
184,nizhneyansk,,,,,,,,
185,saint-philippe,RE,,,,,,,
186,taikang,CN,,,,,,,
187,saldanha,ZA,,,,,,,
188,oksfjord,NO,,,,,,,
189,fairbanks,US,,,,,,,
190,qeshm,IR,,,,,,,
191,nsunga,TZ,,,,,,,
192,komatsu,JP,,,,,,,
193,den helder,NL,,,,,,,
194,havre,FR,,,,,,,
195,ixtapa,MX,,,,,,,
196,muret,FR,,,,,,,
197,chiredzi,ZW,,,,,,,
198,bayji,IQ,,,,,,,
199,kapaa,US,,,,,,,
200,porto de moz,BR,,,,,,,
201,lompoc,US,,,,,,,
202,isfana,KG,,,,,,,
203,agboville,CI,,,,,,,
204,boyolangu,ID,,,,,,,
205,grand river south east,,,,,,,,
206,stoyba,,,,,,,,
207,polis,CY,,,,,,,
208,bolshoy tsaryn,,,,,,,,
209,mazulskiy,,,,,,,,
210,hervey bay,AU,,,,,,,
211,nelson bay,AU,,,,,,,
212,skoghall,SE,,,,,,,
213,sorvag,,,,,,,,
214,jamestown,US,,,,,,,
215,rossland,CA,,,,,,,
216,yulara,AU,,,,,,,
217,bolshoye selo,RU,,,,,,,
218,portland,US,,,,,,,
219,meulaboh,ID,,,,,,,
220,khatanga,RU,,,,,,,
221,manzanillo,CU,,,,,,,
222,karacakoy,TR,,,,,,,
223,jining,CN,,,,,,,
224,hurghada,EG,,,,,,,
225,tomatlan,MX,,,,,,,
226,suntar,RU,,,,,,,
227,santa maria,BR,,,,,,,
228,dangriga,BZ,,,,,,,
229,zhezkazgan,KZ,,,,,,,
230,avarua,CK,,,,,,,
231,sistranda,NO,,,,,,,
232,kodiak,US,,,,,,,
233,issum,DE,,,,,,,
234,dasoguz,TM,,,,,,,
