,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,brownsville,100,,1650594342,84,25.9018,-97.4975,80.55,12.66
1,nanortalik,100,,1650594518,92,60.1432,-45.2371,34.14,6.26
2,khatanga,92,,1650594636,87,71.9667,102.5,14.36,12.01
3,tuktoyaktuk,20,,1650594636,78,69.4541,-133.0374,6.8,6.91
4,naze,85,,1650594637,78,28.3667,129.4833,72.52,3.51
6,alofi,100,,1650594457,83,-19.0595,-169.9187,80.49,5.75
8,arraial do cabo,5,,1650594447,82,-22.9661,-42.0278,73.09,8.95
9,huambo,66,,1650594637,85,-12.7761,15.7392,53.2,3.09
10,saint-georges,20,,1650594638,74,12.0564,-61.7485,80.28,17.27
12,ribeira grande,100,,1650594638,68,38.5167,-28.7,57.27,18.01
13,gibraleon,100,,1650594638,66,37.3763,-6.969,57.02,11.81
14,mozarlandia,30,,1650594639,53,-14.7447,-50.5706,73.26,2.48
15,busselton,0,,1650594639,43,-33.65,115.3333,69.01,13.71
16,kasama,71,,1650594639,99,-10.2129,31.1808,58.14,2.3
17,hithadhoo,18,,1650594640,66,-0.6,73.0833,84.56,9.62
18,bambous virieux,20,,1650594640,83,-20.3428,57.7575,76.21,6.91
19,burnie,67,,1650594640,48,-41.0667,145.9167,59.94,4.68
20,mercedes,100,,1650594436,45,-34.6515,-59.4307,57.63,6.08
21,vaini,20,,1650594641,84,-21.2,-175.2,84.36,8.3
23,avarua,20,,1650594641,61,-21.2078,-159.775,80.65,14.97
25,ponta do sol,49,,1650594642,69,32.6667,-17.1,59.72,12.35
26,laguna,0,,1650594642,64,38.421,-121.4238,61.09,9.22
27,praia da vitoria,75,,1650594529,72,38.7333,-27.0667,57.45,21.85
29,brae,99,,1650594642,84,60.3964,-1.353,45.72,20.18
30,westport,100,,1650594641,76,41.1415,-73.3579,53.02,3.44
31,banswada,76,,1650594643,30,18.3833,77.8833,91.33,3.49
32,vostok,100,,1650594643,44,46.4856,135.8833,56.95,7.67
33,norman wells,75,,1650594532,43,65.282,-126.8329,32.04,11.5
34,dikson,99,,1650594643,94,73.5069,80.5464,4.06,13.53
36,trinidad,83,,1650594644,88,-14.8333,-64.9,74.12,4.05
37,barrow,0,,1650594644,73,71.2906,-156.7887,14.02,19.57
38,provideniya,0,,1650594644,69,64.3833,-173.3,33.91,15.99
39,zbarazh,100,,1650594645,97,49.6636,25.7762,41.23,5.08
40,anage,71,,1650594645,75,-14.6122,-41.1356,73.18,3.22
41,eugene,75,,1650594424,77,44.0521,-123.0867,51.8,3.44
42,marsa matruh,99,,1650594646,76,31.3525,27.2453,58.96,10.22
43,katsuura,16,,1650594646,74,35.1333,140.3,70.39,15.1
44,thompson,40,,1650594646,29,55.7435,-97.8558,33.96,3.44
45,lavrentiya,5,,1650594603,84,65.5833,-171,31.24,4.29
46,puerto cabezas,25,,1650594647,89,14.0351,-83.3888,76.24,7.87
48,victor harbor,45,,1650594647,60,-35.5667,138.6167,61.68,12.15
49,tarnogskiy gorodok,26,,1650594647,85,60.4997,43.5761,32.47,2.91
50,elko,100,,1650594648,80,41.0002,-115.5012,39.74,5.99
51,puerto ayora,17,,1650594648,93,-0.7393,-90.3518,72.52,7.25
52,rikitea,100,,1650594648,81,-23.1203,-134.9692,72.46,13.13
53,krasnoselkup,100,,1650594649,88,65.7,82.4667,10.13,7.9
54,port hardy,75,,1650594649,62,50.6996,-127.4199,51.98,13.8
55,kudus,68,,1650594649,67,-6.8048,110.8405,85.21,4.72
56,luderitz,35,,1650594650,86,-26.6481,15.1594,59.77,11.79
57,rocha,66,,1650594650,72,-34.4833,-54.3333,50.72,3.76
59,maumere,100,,1650594711,68,-8.6199,122.2111,85.51,1.14
60,basoko,100,,1650594711,95,1.2391,23.616,70.3,0.65
62,beringovskiy,100,,1650594442,85,63.05,179.3167,29.59,7.45
63,ushuaia,75,,1650594568,81,-54.8,-68.3,40.66,13.8
64,belaya gora,100,,1650594711,81,68.5333,146.4167,24.48,7.81
65,cape town,75,,1650594230,84,-33.9258,18.4232,62.11,10.36
66,vardo,100,,1650594712,98,70.3705,31.1107,37.53,10.31
68,leningradskiy,100,,1650594712,87,69.3833,178.4167,24.33,2.75
69,dingle,22,,1650594713,64,10.9995,122.6711,87.31,12.24
71,severo-kurilsk,94,,1650594519,98,50.6789,156.125,36.9,5.88
72,hobart,75,,1650594330,52,-42.8794,147.3294,60.26,8.05
74,bredasdorp,95,,1650594713,81,-34.5322,20.0403,60.84,6.29
76,porbandar,1,,1650594714,65,21.6422,69.6093,82.83,7.9
79,vagur,12,,1650594714,90,61.4732,-6.8119,44.62,19.93
